0.594033        0.594033        0.038439
0.594033        10.262700       1.705714
0.594033        16.811369       4.611441
0.594033        21.804539       8.056057
0.594033        26.154276       11.203441
0.594033        30.200006       13.097651
0.594033        34.261742       13.078245
0.594033        38.659473       11.516545
0.594033        43.748707       8.970368
0.594033        50.537373       5.345722

10.262701       0.594033        0.721000
10.262701       10.262701       11.717146
10.262701       16.811367       17.623798
10.262700       21.804543       20.508539
10.262700       26.154276       21.919716
10.262700       30.200006       22.949940
10.262700       34.261742       24.099653
10.262700       38.659477       23.883041
10.262700       43.748703       20.474730
10.262699       50.537369       13.662040

16.811365       0.594033        1.263996
16.811369       10.262700       19.451790
16.811367       16.811367       27.471146
16.811367       21.804541       30.120461
16.811367       26.154274       30.543825
16.811363       30.200010       30.433405
16.811365       34.261742       30.678055
16.811365       38.659470       29.569660
16.811365       43.748703       24.966848
16.811367       50.537365       17.034128

21.804541       0.594033        1.543936
21.804544       10.262700       23.683764
21.804541       16.811369       33.288044
21.804543       21.804539       36.254166
21.804541       26.154272       36.325104
21.804539       30.200006       35.353004
21.804541       34.261738       34.429287
21.804541       38.659473       32.246521
21.804543       43.748699       27.087255
21.804539       50.537369       19.183655

26.154274       0.594033        1.560867
26.154274       10.262700       24.502899
26.154274       16.811367       35.287281
26.154272       21.804543       39.096561
26.154274       26.154274       39.406174
26.154272       30.200006       38.193306
26.154272       34.261742       36.751579
26.154274       38.659473       34.195442
26.154272       43.748699       29.233740
26.154274       50.537361       21.737001

30.200006       0.594033        1.423260
30.200006       10.262700       23.153732
30.200008       16.811367       34.627956
30.200006       21.804539       39.558205
30.200003       26.154272       40.713577
30.200005       30.200008       40.035324
30.200006       34.261742       38.852150
30.200006       38.659470       36.479740
30.200005       43.748703       31.835747
30.200005       50.537365       24.481659

34.261742       0.594033        1.232540 
34.261745       10.262700       20.822180
34.261742       16.811367       32.431427
34.261738       21.804541       38.468056
34.261742       26.154274       40.947155
34.261742       30.200005       41.539089
34.261742       34.261738       41.341095
34.261742       38.659470       39.516693
34.261742       43.748703       34.859467
34.261742       50.537361       27.010042

38.659477       0.594033        1.053202 
38.659477       10.262701       18.357225
38.659477       16.811367       29.578512
38.659470       21.804541       36.289402
38.659470       26.154274       39.934250
38.659473       30.200010       41.845024
38.659470       34.261742       42.794277
38.659470       38.659473       41.640968
38.659470       43.748699       36.905727
38.659470       50.537365       28.457726

43.748699       0.594033        0.932911 
43.748703       10.262700       16.412548
43.748703       16.811367       26.754869
43.748699       21.804543       33.295685
43.748699       26.154272       37.254208
43.748699       30.200006       39.747292
43.748703       34.261738       41.341743
43.748699       38.659470       40.721962
43.748699       43.748699       36.250744
43.748699       50.537361       27.823278

50.537369       0.594033        0.756075 
50.537365       10.262700       13.384039
50.537365       16.811367       22.010059
50.537365       21.804543       27.716892
50.537361       26.154274       31.378321
50.537365       30.200005       33.684715
50.537361       34.261742       34.963356
50.537361       38.659470       34.312408
50.537357       43.748699       30.603003
50.537361       50.537361       23.393269
